File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results,
Vo/voila/voila_evaluation_examples/strong_spec/errors/CasCounter/CASCounter-I.1.vl.vpr,2,1132,150,13,993,1063,1341,true,647.18-invariant.not.established:insufficient.permission;648.18-invariant.not.established:insufficient.permission,QPs=13;SCcomps=42;methods=16;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/CasCounter/CASCounter-I.2.vl.vpr,1,1659,21,1,1637,1653,1689,true,408.15-invariant.not.preserved:assertion.false,QPs=17;SCcomps=72;methods=16;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/CasCounter/CASCounter-I.3.vl.vpr,2,1393,22,1,1362,1402,1415,true,648.18-invariant.not.established:assertion.false;648.18-invariant.not.preserved:assertion.false,QPs=15;SCcomps=54;methods=16;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/CasCounter/CASCounter-I.4.vl.vpr,3,720,7,0,713,718,730,true,1110.5-assignment.failed:insufficient.permission;500.5-assignment.failed:insufficient.permission;933.3-assignment.failed:insufficient.permission,QPs=13;SCcomps=6;methods=16;postBranches=7;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLock/TicketLock-I.1.vl.vpr,2,4210,251,5,4012,4055,4565,true,1436.18-invariant.not.established:insufficient.permission;1437.18-invariant.not.established:insufficient.permission,QPs=40;SCcomps=58;methods=23;postBranches=13;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLock/TicketLock-I.2.vl.vpr,1,11900,303,2,11643,11732,12327,true,801.15-invariant.not.preserved:assertion.false,QPs=50;SCcomps=88;methods=23;postBranches=13;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLock/TicketLock-I.3.vl.vpr,1,559957,42629,7,517328,602587,602587,false,1779.16-exhale.failed:insufficient.permission,QPs=60;SCcomps=30;methods=23;postBranches=13;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLock/TicketLock-I.4.vl.vpr,2,3168,157,4,3004,3121,3380,true,1431.17-invariant.not.established:insufficient.permission;1992.3-fold.failed:assertion.false,QPs=40;SCcomps=21;methods=23;postBranches=13;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLockClient/TicketLockClient-I.2.vl.vpr,1,1450,139,9,1274,1461,1615,true,460.15-invariant.not.preserved:assertion.false,QPs=24;SCcomps=30;methods=17;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLockClient/TicketLockClient-I.3.vl.vpr,1,1301,92,7,1198,1282,1423,true,1132.5-fold.failed:assertion.false,QPs=24;SCcomps=43;methods=17;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLockClient/TicketLockClient-I.4.vl.vpr,2,1382,25,1,1364,1364,1418,true,1063.12-exhale.failed:insufficient.permission;783.5-assignment.failed:insufficient.permission,QPs=24;SCcomps=26;methods=17;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/BagStack.vl.vpr,0,9005,400,4,8537,8962,9516,true,success,QPs=44;SCcomps=0;methods=23;postBranches=17;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/BoundedCounter.vl.vpr,0,1771,307,17,1352,1878,2083,true,success,QPs=15;SCcomps=0;methods=15;postBranches=11;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/CASCounter.vl.vpr,0,897,88,9,779,924,990,true,success,QPs=11;SCcomps=0;methods=14;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/CounterClient.vl.vpr,0,4373,48,1,4306,4397,4416,true,success,QPs=123;SCcomps=0;methods=47;postBranches=32;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/ForkJoin.vl.vpr,0,503,53,10,436,508,567,true,success,QPs=9;SCcomps=0;methods=13;postBranches=8;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/ForkJoinClient.vl.vpr,0,1497,107,7,1360,1509,1623,true,success,QPs=45;SCcomps=0;methods=25;postBranches=18;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/IncDec.vl.vpr,0,2153,289,13,1753,2281,2426,true,success,QPs=17;SCcomps=0;methods=16;postBranches=12;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/SpinLock.vl.vpr,0,965,4,0,961,962,972,true,success,QPs=11;SCcomps=0;methods=14;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/TicketLock.vl.vpr,0,11406,298,2,10984,11610,11624,true,success,QPs=32;SCcomps=0;methods=14;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/TicketLockClient.vl.vpr,0,1047,55,5,968,1086,1087,true,success,QPs=20;SCcomps=0;methods=17;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/BagStack/BagStack.1.vl.vpr,2,7974,166,2,7752,8018,8154,true,1014.5-assignment.failed:insufficient.permission;834.16-invariant.not.established:insufficient.permission,QPs=40;SCcomps=22;methods=23;postBranches=15;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/BagStack/BagStack.2.vl.vpr,1,9235,82,0,9152,9206,9347,true,337.11-postcondition.violated:assertion.false,QPs=44;SCcomps=32;methods=23;postBranches=17;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/BagStack/BagStack.3.vl.vpr,2,10138,1508,14,8660,9544,12210,true,1163.7-call.precondition:insufficient.permission;730.5-call.precondition:insufficient.permission,QPs=40;SCcomps=154;methods=23;postBranches=16;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/BagStack/BagStack.4.vl.vpr,3,6849,61,0,6775,6848,6925,true,1821.5-fold.failed:insufficient.permission;2460.7-fold.failed:insufficient.permission;3004.10-assert.failed:assertion.false,QPs=40;SCcomps=119;methods=23;postBranches=16;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/CasCounter/CASCounter.1.vl.vpr,1,1044,59,5,998,1006,1128,true,336.14-postcondition.violated:assertion.false,QPs=11;SCcomps=26;methods=14;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/CasCounter/CASCounter.2.vl.vpr,1,909,74,8,804,962,963,true,336.14-postcondition.violated:assertion.false,QPs=11;SCcomps=26;methods=14;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/CasCounter/CASCounter.3.vl.vpr,2,756,36,4,728,732,808,true,489.10-assert.failed:assertion.false;696.12-assert.failed:assertion.false,QPs=9;SCcomps=90;methods=14;postBranches=8;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/CasCounter/CASCounter.4.vl.vpr,2,391,2,0,390,390,395,true,404.3-assignment.failed:insufficient.permission;818.3-assignment.failed:insufficient.permission,QPs=7;SCcomps=4;methods=14;postBranches=6;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLock/TicketLock.1.vl.vpr,3,24447,11186,45,15892,17202,40249,true,669.16-invariant.not.established:insufficient.permission;669.16-invariant.not.preserved:insufficient.permission;973.15-invariant.not.established:insufficient.permission,QPs=21;SCcomps=11;methods=14;postBranches=7;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLock/TicketLock.2.vl.vpr,1,12134,1090,8,11073,11696,13635,true,435.11-postcondition.violated:insufficient.permission,QPs=32;SCcomps=2;methods=14;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLock/TicketLock.3.vl.vpr,2,5602,271,4,5218,5794,5795,true,606.3-fold.failed:insufficient.permission;831.5-fold.failed:insufficient.permission,QPs=24;SCcomps=2;methods=14;postBranches=8;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLock/TicketLock.4.vl.vpr,3,9785,537,5,9090,9865,10400,true,1273.3-fold.failed:assertion.false;669.16-invariant.not.established:insufficient.permission;669.16-invariant.not.preserved:insufficient.permission,QPs=24;SCcomps=17;methods=14;postBranches=8;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLockClient/TicketLockClient.2.vl.vpr,1,1170,47,4,1103,1199,1208,true,361.11-postcondition.violated:assertion.false,QPs=20;SCcomps=11;methods=17;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLockClient/TicketLockClient.3.vl.vpr,1,1066,103,9,925,1104,1170,true,988.3-fold.failed:assertion.false,QPs=20;SCcomps=53;methods=17;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLockClient/TicketLockClient.4.vl.vpr,2,1016,95,9,926,974,1148,true,645.3-assignment.failed:insufficient.permission;920.10-exhale.failed:insufficient.permission,QPs=20;SCcomps=29;methods=17;postBranches=9;proverWarnings=0
